ID,careerRec,careerRecYds,careerYPC,careerRecTds,careerRushAtt,careerRushYds,careerYPA,careerRushTds,careerPlays,careerTotalYds,careerYPT,careerTotalTds,Player_x,Conf,Class,dr_1games,dr_1Rec,dr_1RecYds,dr_1YPC,dr_1RecTds,dr_1RushAtt,dr_1RushYds,dr_1YPA,dr_1RushTds,dr_1Plays,dr_1TotalYds,dr_1YPT,dr_1TotalTds,dr_2games,dr_2Rec,dr_2RecYds,dr_2YPC,dr_2RecTds,dr_2RushAtt,dr_2RushYds,dr_2YPA,dr_2RushTds,dr_2Plays,dr_2TotalYds,dr_2YPT,dr_2TotalTds,dr_3games,dr_3Rec,dr_3RecYds,dr_3YPC,dr_3RecTds,dr_3RushAtt,dr_3RushYds,dr_3YPA,dr_3RushTds,dr_3Plays,dr_3TotalYds,dr_3YPT,dr_3TotalTds,FirstNm,LastNm,Age,Wt,Forty,Vertical,BenchReps,BroadJump,ThreeCone,Shuttle,pickNum,year,height
270,154,2572,16.7,19,5,28,5.6,0,159,2600,16.4,19,Darnell Mooney,American,SR,13,48,713,14.9,5,0,0,0,0,48,713,14.9,5,13,48,993,20.7,8,1,6,6,0,49,999,20.4,8,11,34,599,17.6,4,0,0,0,0,34,599,17.6,4,DARNELL,MOONEY,22,176,4.38,37,9,124,7.116666667,4.35125,173,2020,70
271,186,2925,15.7,28,1,-6,-6,0,187,2919,15.6,28,Denzel Mims,Big 12,SR,13,66,1020,15.5,12,0,0,0,0,66,1020,15.5,12,12,55,794,14.4,8,0,0,0,0,55,794,14.4,8,12,61,1087,17.8,8,1,-6,-6,0,62,1081,17.4,8,DENZEL,MIMS,22,207,4.38,38.5,16,131,6.66,4.43,59,2020,75
272,173,3292,19,32,9,20,2.2,1,182,3312,18.2,33,CeeDee Lamb,Big 12,JR,13,62,1327,21.4,14,9,20,2.2,1,71,1347,19,15,14,65,1158,17.8,11,0,0,0,0,65,1158,17.8,11,13,46,807,17.5,7,0,0,0,0,46,807,17.5,7,CEEDEE,LAMB,20,198,4.5,34.5,11,124,7.116666667,4.35125,17,2020,74
273,213,3305,15.5,33,1,-1,-1,0,214,3304,15.4,33,Tyler Johnson,Big Ten,SR,13,86,1318,15.3,13,1,-1,-1,0,87,1317,15.1,13,13,78,1169,15,12,0,0,0,0,78,1169,15,12,10,35,677,19.3,7,0,0,0,0,35,677,19.3,7,TYLER,JOHNSON,21,206,4.49,37.10714286,15.5,125.1111111,7.116666667,4.35125,161,2020,73
274,188,2624,14,15,0,-7,0,0,188,2617,13.9,15,Collin Johnson,Big 12,SR,7,38,559,14.7,3,0,0,0,0,38,559,14.7,3,13,68,985,14.5,7,0,0,0,0,68,985,14.5,7,13,54,765,14.2,2,0,-7,0,0,54,758,14,2,COLLIN,JOHNSON,22,222,4.49,37.10714286,17,125.1111111,7.116666667,4.35125,165,2020,78
275,159,2742,17.2,26,1,1,1,0,160,2743,17.1,26,Jerry Jeudy,SEC,JR,13,77,1163,15.1,10,1,1,1,0,78,1164,14.9,10,15,68,1315,19.3,14,0,0,0,0,68,1315,19.3,14,8,14,264,18.9,2,0,0,0,0,14,264,18.9,2,JERRY,JEUDY,20,193,4.45,35,15.5,120,7.116666667,4.53,15,2020,73
276,146,2153,14.7,18,25,93,3.7,1,171,2246,13.1,19,Jauan Jennings,SEC,SR,13,59,969,16.4,8,13,51,3.9,1,72,1020,14.2,9,11,30,438,14.6,3,0,0,0,0,30,438,14.6,3,1,3,17,5.7,0,0,0,0,0,3,17,5.7,0,JAUAN,JENNINGS,23,215,4.72,29,15.5,119,7.116666667,4.35125,217,2020,75
277,165,2415,14.6,24,6,30,5,0,171,2445,14.3,24,Justin Jefferson,SEC,JR,15,111,1540,13.9,18,0,0,0,0,111,1540,13.9,18,13,54,875,16.2,6,5,26,5.2,0,59,901,15.3,6,2,0,0,0,0,1,4,4,0,1,4,4,0,JUSTIN,JEFFERSON,20,202,4.43,37.5,15.5,126,7.116666667,4.35125,22,2020,73
278,176,2322,13.2,20,0,0,0,0,176,2322,13.2,20,Isaiah Hodgins,Pac-12,JR,12,86,1171,13.6,13,0,0,0,0,86,1171,13.6,13,11,59,876,14.8,5,0,0,0,0,59,876,14.8,5,11,31,275,8.9,2,0,0,0,0,31,275,8.9,2,ISAIAH,HODGINS,21,210,4.61,36.5,9,124,7.01,4.12,207,2020,76
279,201,2332,11.6,20,4,-1,-0.3,0,205,2331,11.4,20,K.J. Hill,Big Ten,SR,14,57,636,11.2,10,1,1,1,0,58,637,11,10,14,70,885,12.6,6,1,-3,-3,0,71,882,12.4,6,14,56,549,9.8,3,2,1,0.5,0,58,550,9.5,3,KJ,HILL,22,196,4.6,32.5,17,114,7.116666667,4.35125,220,2020,72
280,82,1447,17.6,14,24,317,13.2,2,106,1764,16.6,16,John Hightower,MWC,SR,14,51,943,18.5,8,16,154,9.6,0,67,1097,16.4,8,9,31,504,16.3,6,8,163,20.4,2,39,667,17.1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,JOHN,HIGHTOWER,24,189,4.43,38.5,15.5,122,7.07,4.21,168,2020,73
281,135,2448,18.1,27,1,36,36,1,136,2484,18.3,28,Tee Higgins,ACC,JR,15,59,1167,19.8,13,1,36,36,1,60,1203,20.1,14,15,59,936,15.9,12,0,0,0,0,59,936,15.9,12,7,17,345,20.3,2,0,0,0,0,17,345,20.3,2,TEE,HIGGINS,21,216,4.49,37.10714286,15.5,125.1111111,7.116666667,4.35125,33,2020,76
