,careergames,careerRec,careerRecYds,careerYPC,careerRecTds,careerRushAtt,careerRushYds,careerYPA,careerRushTds,careerPlays,careerTotalYds,careerYPT,careerTotalTds,Player,Year,School,Conf,Class,Pos,dr_1games,dr_1Rec,dr_1RecYds,dr_1YPC,dr_1RecTds,dr_1RushAtt,dr_1RushYds,dr_1YPA,dr_1RushTds,dr_1Plays,dr_1TotalYds,dr_1YPT,dr_1TotalTds,dr_2games,dr_2Rec,dr_2RecYds,dr_2YPC,dr_2RecTds,dr_2RushAtt,dr_2RushYds,dr_2YPA,dr_2RushTds,dr_2Plays,dr_2TotalYds,dr_2YPT,dr_2TotalTds,dr_3games,dr_3Rec,dr_3RecYds,dr_3YPC,dr_3RecTds,dr_3RushAtt,dr_3RushYds,dr_3YPA,dr_3RushTds,dr_3Plays,dr_3TotalYds,dr_3YPT,dr_3TotalTds
0,,189.0,3207.0,17.0,23.0,3.0,10.0,3.3,0.0,192,3217,16.8,23,Marquess Wilson,2012,Washington State,Pac-12,JR,WR,9.0,52.0,813.0,15.6,5.0,,,,,52,813,15.6,5,12.0,82.0,1388.0,16.9,12.0,3.0,10.0,3.3,0.0,85,1398,16.4,12,12.0,55.0,1006.0,18.3,6.0,,,,,55,1006,18.3,6
0,,202.0,3334.0,16.5,27.0,3.0,17.0,5.7,0.0,205,3351,16.3,27,Terrance Williams,2012,Baylor,Big 12,SR,WR,13.0,97.0,1832.0,18.9,12.0,2.0,14.0,7.0,0.0,99,1846,18.6,12,13.0,59.0,957.0,16.2,11.0,,,,,59,957,16.2,11,13.0,43.0,484.0,11.3,4.0,1.0,3.0,3.0,0.0,44,487,11.1,4
0,,227.0,2994.0,13.2,16.0,83.0,631.0,7.6,5.0,310,3625,11.7,21,Markus Wheaton,2012,Oregon State,Pac-12,SR,WR,13.0,91.0,1244.0,13.7,11.0,20.0,142.0,7.1,2.0,111,1386,12.5,13,12.0,73.0,986.0,13.5,1.0,25.0,190.0,7.6,0.0,98,1176,12.0,1,12.0,55.0,675.0,12.3,4.0,27.0,220.0,8.1,2.0,82,895,10.9,6
0,,252.0,3117.0,12.4,24.0,19.0,59.0,3.1,0.0,271,3176,11.7,24,Ryan Swope,2012,Texas A&M,SEC,SR,WR,13.0,72.0,913.0,12.7,8.0,1.0,-2.0,-2.0,0.0,73,911,12.5,8,13.0,89.0,1207.0,13.6,11.0,7.0,3.0,0.4,0.0,96,1210,12.6,11,13.0,72.0,825.0,11.5,4.0,11.0,58.0,5.3,0.0,83,883,10.6,4
0,,204.0,2594.0,12.7,24.0,3.0,23.0,7.7,0.0,207,2617,12.6,24,Kenny Stills,2012,Oklahoma,Big 12,JR,WR,13.0,82.0,959.0,11.7,11.0,2.0,22.0,11.0,0.0,84,981,11.7,11,11.0,61.0,849.0,13.9,8.0,1.0,1.0,1.0,0.0,62,850,13.7,8,14.0,61.0,786.0,12.9,5.0,,,,,61,786,12.9,5
0,,99.0,1230.0,12.4,13.0,12.0,72.0,6.0,0.0,111,1302,11.7,13,Ace Sanders,2012,South Carolina,SEC,JR,WR,13.0,45.0,531.0,11.8,9.0,3.0,1.0,0.3,0.0,48,532,11.1,9,13.0,29.0,383.0,13.2,2.0,4.0,15.0,3.8,0.0,33,398,12.1,2,14.0,25.0,316.0,12.6,2.0,5.0,56.0,11.2,0.0,30,372,12.4,2
0,,183.0,2594.0,14.2,24.0,11.0,37.0,3.4,0.0,194,2631,13.6,24,Quinton Patton,2012,Louisiana Tech,WAC,SR,WR,12.0,104.0,1392.0,13.4,13.0,1.0,-5.0,-5.0,0.0,105,1387,13.2,13,13.0,79.0,1202.0,15.2,11.0,10.0,42.0,4.2,0.0,89,1244,14.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
0,,46.0,778.0,16.9,5.0,25.0,308.0,12.3,3.0,71,1086,15.3,8,Cordarrelle Patterson,2012,Tennessee,SEC,JR,WR,12.0,46.0,778.0,16.9,5.0,25.0,308.0,12.3,3.0,71,1086,15.3,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
0,,136.0,2602.0,19.1,21.0,3.0,5.0,1.7,0.0,139,2607,18.8,21,Tavarres King,2012,Georgia,SEC,SR,WR,14.0,42.0,950.0,22.6,9.0,1.0,0.0,0.0,0.0,43,950,22.1,9,14.0,47.0,705.0,15.0,8.0,2.0,5.0,2.5,0.0,49,710,14.5,8,12.0,27.0,504.0,18.7,3.0,,,,,27,504,18.7,3
0,,106.0,1812.0,17.1,18.0,,,,,106,1812,17.1,18,Justin Hunter,2012,Tennessee,SEC,JR,WR,12.0,73.0,1083.0,14.8,9.0,,,,,73,1083,14.8,9,3.0,17.0,314.0,18.5,2.0,,,,,17,314,18.5,2,13.0,16.0,415.0,25.9,7.0,,,,,16,415,25.9,7
0,,206.0,3020.0,14.7,27.0,,,,,206,3020,14.7,27,DeAndre Hopkins,2012,Clemson,ACC,JR,WR,13.0,82.0,1405.0,17.1,18.0,,,,,82,1405,17.1,18,14.0,72.0,978.0,13.6,5.0,,,,,72,978,13.6,5,12.0,52.0,637.0,12.3,4.0,,,,,52,637,12.3,4
0,,123.0,1734.0,14.1,12.0,8.0,45.0,5.6,0.0,131,1779,13.6,12,Chris Harper,2012,Kansas State,Big 12,SR,WR,13.0,58.0,857.0,14.8,3.0,0.0,-7.0,,0.0,58,850,14.7,3,13.0,40.0,547.0,13.7,5.0,3.0,5.0,1.7,0.0,43,552,12.8,5,13.0,25.0,330.0,13.2,4.0,5.0,47.0,9.4,0.0,30,377,12.6,4
0,,175.0,2854.0,16.3,18.0,1.0,-8.0,-8.0,0.0,176,2846,16.2,18,Cobi Hamilton,2012,Arkansas,SEC,SR,WR,12.0,90.0,1335.0,14.8,5.0,,,,,90,1335,14.8,5,13.0,34.0,542.0,15.9,4.0,,,,,34,542,15.9,4,13.0,32.0,630.0,19.7,6.0,,,,,32,630,19.7,6
0,,120.0,1364.0,11.4,7.0,46.0,405.0,8.8,3.0,166,1769,10.7,10,Marquise Goodwin,2012,Texas,Big 12,SR,WR,13.0,26.0,340.0,13.1,3.0,13.0,140.0,10.8,3.0,39,480,12.3,6,12.0,33.0,421.0,12.8,2.0,22.0,220.0,10.0,0.0,55,641,11.7,2,11.0,31.0,324.0,10.5,1.0,9.0,37.0,4.1,0.0,40,361,9.0,1
0,,45.0,834.0,18.5,6.0,1.0,10.0,10.0,0.0,46,844,18.3,6,Corey Fuller,2012,Virginia Tech,ACC,SR,WR,13.0,43.0,815.0,19.0,6.0,1.0,10.0,10.0,0.0,44,825,18.8,6,7.0,2.0,19.0,9.5,0.0,,,,,2,19,9.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
0,,165.0,2398.0,14.5,24.0,3.0,19.0,6.3,0.0,168,2417,14.4,24,Aaron Dobson,2012,Marshall,CUSA,SR,WR,10.0,57.0,679.0,11.9,3.0,,,,,57,679,11.9,3,13.0,49.0,668.0,13.6,12.0,1.0,1.0,1.0,0.0,50,669,13.4,12,12.0,44.0,689.0,15.7,5.0,2.0,18.0,9.0,0.0,46,707,15.4,5
0,,161.0,2535.0,15.7,22.0,4.0,7.0,1.8,1.0,165,2542,15.4,23,Josh Boyce,2012,Texas Christian,Big 12,JR,WR,13.0,66.0,891.0,13.5,7.0,3.0,6.0,2.0,1.0,69,897,13.0,8,13.0,61.0,998.0,16.4,9.0,1.0,1.0,1.0,0.0,62,999,16.1,9,13.0,34.0,646.0,19.0,6.0,,,,,34,646,19.0,6
0,,210.0,3218.0,15.3,41.0,2.0,13.0,6.5,0.0,212,3231,15.2,41,Stedman Bailey,2012,West Virginia,Big 12,JR,WR,13.0,114.0,1622.0,14.2,25.0,2.0,13.0,6.5,0.0,116,1635,14.1,25,13.0,72.0,1279.0,17.8,12.0,,,,,72,1279,17.8,12,13.0,24.0,317.0,13.2,4.0,,,,,24,317,13.2,4
0,,288.0,3413.0,11.9,29.0,110.0,1033.0,9.4,6.0,398,4446,11.2,35,Tavon Austin,2012,West Virginia,Big 12,SR,WR,13.0,114.0,1289.0,11.3,12.0,72.0,643.0,8.9,3.0,186,1932,10.4,15,13.0,101.0,1186.0,11.7,8.0,16.0,182.0,11.4,1.0,117,1368,11.7,9,13.0,58.0,787.0,13.6,8.0,16.0,161.0,10.1,1.0,74,948,12.8,9
0,,205.0,2570.0,12.5,17.0,30.0,230.0,7.7,2.0,235,2800,11.9,19,Keenan Allen,2012,California,Pac-12,JR,WR,9.0,61.0,737.0,12.1,6.0,3.0,39.0,13.0,1.0,64,776,12.1,7,13.0,98.0,1343.0,13.7,6.0,9.0,55.0,6.1,0.0,107,1398,13.1,6,11.0,46.0,490.0,10.7,5.0,18.0,136.0,7.6,1.0,64,626,9.8,6
0,,240.0,3391.0,14.1,27.0,52.0,339.0,6.5,1.0,292,3730,12.8,28,Sammy Watkins,2013,Clemson,ACC,JR,WR,13.0,101.0,1464.0,14.5,12.0,6.0,11.0,1.8,0.0,107,1475,13.8,12,10.0,57.0,708.0,12.4,3.0,14.0,97.0,6.9,1.0,71,805,11.3,4,13.0,82.0,1219.0,14.9,12.0,32.0,231.0,7.2,0.0,114,1450,12.7,12
